country,tax_regime_name,rate_type,rate_pct,holding_period_threshold_days,rate_short_pct,rate_long_pct,exemption_threshold_local_currency,effective_from,effective_to,source_url,source_type,confidence,notes
United Kingdom,HMRC CGT 2011-2016,flat,18.0,0,0.0,0.0,10600,2011-01-01,2016-04-05,https://www.gov.uk/capital-gains-tax,statute,primary_statutory_single_source,Standard rate on shares; annual exempt amount 10600 GBP
United Kingdom,HMRC CGT 2016-2024,flat,20.0,0,0.0,0.0,12300,2016-04-06,2024-10-29,https://www.gov.uk/capital-gains-tax,statute,primary_statutory_single_source,Higher rate on non-residential shares; annual exempt amount 12300 GBP
United Kingdom,HMRC Autumn Budget 2024,flat,24.0,0,0.0,0.0,3000,2024-10-30,2025-12-31,https://www.gov.uk/capital-gains-tax,statute,primary_statutory_single_source,Main rate raised to 24 pct; annual exempt amount reduced to 3000 GBP
France,CGI former Art 200 A PFL 2011,flat,31.3,0,0.0,0.0,0,2011-01-01,2011-12-31,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000023363065,statute,primary_statutory_single_source,CGI former Art 200 A: 19 pct PFL + 12.3 pct social levies (threshold abolished by LFI 2011)
France,CGI former Art 200 A PFL 2012,flat,39.5,0,0.0,0.0,0,2012-01-01,2012-12-31,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000025078516,statute,primary_statutory_single_source,CGI former Art 200 A: 24 pct PFL (LFI 2012) + 15.5 pct social levies (LFR 2012)
France,CGI Art 150-0 D Bareme Progressif 2013-2017,holding_period_dependent,0.0,730,45.5,30.5,0,2013-01-01,2017-12-31,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000028419614,statute,primary_statutory_single_source,CGI Art 150-0 D jo Art 197: Median equity investor 30 pct IR bracket + 15.5 pct social levies; 50 pct IR abatement >=2 yrs (15.0 pct + 15.5 pct = 30.5 pct)
France,PFU Flat Tax 2018-2025,flat,30.0,0,0.0,0.0,0,2018-01-01,2025-12-31,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000036347101,statute,primary_statutory_single_source,Prélèvement Forfaitaire Unique (PFU) under CGI Art 200 A (12.8 pct income + 17.2 pct social levies)
Italy,Imposta Sostitutiva 2011,flat,12.5,0,0.0,0.0,0,2011-01-01,2011-12-31,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1997-11-21;461,statute,primary_statutory_single_source,D.Lgs 461/1997 Art 5(2): Imposta sostitutiva on non-qualified equity capital gains at 12.50 pct
Italy,Imposta Sostitutiva 2012-2014,flat,20.0,0,0.0,0.0,0,2012-01-01,2014-06-30,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legge:2011-08-13;138,statute,primary_statutory_single_source,DL 138/2011 Art 2(6) (Manovra bis): Rate raised from 12.5 pct to 20.0 pct effective 1 January 2012
Italy,Imposta Sostitutiva 2014-2025,flat,26.0,0,0.0,0.0,0,2014-07-01,2025-12-31,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legge:2014-04-24;66,statute,primary_statutory_single_source,DL 66/2014 Art 3(1): Rate raised from 20.0 pct to 26.0 pct effective 1 July 2014
Brazil,Lei 11.033 Swing Trade,flat,15.0,0,0.0,0.0,20000,2011-01-01,2025-12-31,https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2004/lei/l11033.htm,statute,primary_statutory_single_source,Lei 11.033/2004 Arts 2(II) and 3(I): Flat 15 pct on equity swing trades on B3; 20000 BRL monthly gross sales exemption. Lei 13.259/2016 progressive scale does not apply to stock exchange trading.
Canada,ITA s 38(a) 50% Inclusion Rate,flat,16.5,0,0.0,0.0,0,2011-01-01,2025-12-31,https://laws-lois.justice.gc.ca/eng/acts/I-3.3/page-28.html,statute,primary_statutory_single_source,Income Tax Act s 38(a): Flat 50 pct inclusion rate across entire 2011-2025 window (~16.5 pct effective at ~33 pct combined bracket). Budget 2024 proposed 66.7 pct deferred Jan 2025 and fully cancelled March 2025 without ever taking effect for individuals.
South Korea,Income Tax Act s 94 Retail Exemption,flat,0.0,0,0.0,0.0,0,2011-01-01,2025-12-31,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=258415,statute,primary_statutory_single_source,Income Tax Act Art 94(1)(3): Retail non-major shareholders trading on-exchange shares exempt from capital gains tax. Planned Financial Investment Income Tax (FIIT) officially scrapped in 2024.
Australia,ITAA 1997 Div 115 50% CGT Discount 2011-2024,holding_period_dependent,0.0,365,32.5,16.25,0,2011-01-01,2024-06-30,https://www.ato.gov.au/individuals-and-families/investments-and-assets/capital-gains-tax/cgt-discount,statute,primary_statutory_single_source,ITAA 1997 Div 115: 32.5 pct median investor bracket; 50 pct discount for assets held >=12 months (16.25 pct long)
Australia,ITAA 1997 Div 115 Stage 3 Tax Cuts 2024-2025,holding_period_dependent,0.0,365,30.0,15.0,0,2024-07-01,2025-12-31,https://www.ato.gov.au/individuals-and-families/investments-and-assets/capital-gains-tax/cgt-discount,statute,primary_statutory_single_source,Treasury Laws Amendment Act 2024: Middle bracket reduced to 30.0 pct effective 1 July 2024 (15.0 pct long)
Spain,LIRPF Escala del Ahorro 2011,slab_based,21.0,0,0.0,0.0,0,2011-01-01,2011-12-31,https://www.boe.es/buscar/act.php?id=BOE-A-2010-19703,statute,primary_statutory_single_source,Ley 39/2010 (PGE 2011) Art 63: Escala del ahorro: 19 pct up to 6000 EUR (9.5 pct state + 9.5 pct regional); 21 pct above 6000 EUR (10.5 pct + 10.5 pct). Median investor marginal bracket 21.0 pct.
Spain,LIRPF Gravamen Complementario 2012-2014,slab_based,25.0,0,0.0,0.0,0,2012-01-01,2014-12-31,https://www.boe.es/buscar/act.php?id=BOE-A-2011-20638,statute,primary_statutory_single_source,RDL 20/2011 (prorrogado 2014 por Ley 22/2013): Gravamen complementario ahorro: 21 pct up to 6k EUR; 25 pct 6k-24k EUR; 27 pct above 24k EUR. Median investor marginal bracket 25.0 pct.
Spain,LIRPF Escala Transitoria RDL 9/2015,slab_based,21.5,0,0.0,0.0,0,2015-01-01,2015-12-31,https://www.boe.es/buscar/act.php?id=BOE-A-2015-7765,statute,primary_statutory_single_source,RDL 9/2015 Art 1: Transitional savings scale for 2015: 19.5 pct up to 6k EUR; 21.5 pct 6k-50k EUR; 23.5 pct above 50k EUR. Median investor marginal bracket 21.5 pct.
Spain,LIRPF Escala Reforma Ley 26/2014,slab_based,21.0,0,0.0,0.0,0,2016-01-01,2020-12-31,https://www.boe.es/buscar/act.php?id=BOE-A-2014-12327,statute,primary_statutory_single_source,Ley 26/2014 Art 1.42: Escala del ahorro reform: 19 pct up to 6k EUR; 21 pct 6k-50k EUR; 23 pct above 50k EUR. Median investor marginal bracket 21.0 pct.
Spain,LIRPF Escala PGE 2021,slab_based,21.0,0,0.0,0.0,0,2021-01-01,2022-12-31,https://www.boe.es/buscar/act.php?id=BOE-A-2020-17339,statute,primary_statutory_single_source,Ley 11/2020 (PGE 2021) Art 59: Added fourth bracket: 19 pct up to 6k EUR; 21 pct 6k-50k EUR; 23 pct 50k-200k EUR; 26 pct above 200k EUR. Median investor marginal bracket 21.0 pct.
Spain,LIRPF Escala PGE 2023,slab_based,21.0,0,0.0,0.0,0,2023-01-01,2024-12-31,https://www.boe.es/buscar/act.php?id=BOE-A-2022-22128,statute,primary_statutory_single_source,Ley 31/2022 (PGE 2023) Art 63: Added fifth bracket: 19 pct up to 6k; 21 pct 6k-50k; 23 pct 50k-200k; 27 pct 200k-300k; 28 pct above 300k EUR. Median investor marginal bracket 21.0 pct.
Spain,LIRPF Escala Ley 7/2024,slab_based,21.0,0,0.0,0.0,0,2025-01-01,2025-12-31,https://www.boe.es/buscar/act.php?id=BOE-A-2024-26694,statute,primary_statutory_single_source,Ley 7/2024 Disp Final 7: Top bracket raised from 28 pct to 30 pct above 300k EUR: 19 pct up to 6k; 21 pct 6k-50k; 23 pct 50k-200k; 27 pct 200k-300k; 30 pct above 300k. Median investor marginal bracket 21.0 pct.
Mexico,SAT LISR Pre-2014 Art 109 Exemption,flat,0.0,0,0.0,0.0,0,2011-01-01,2013-12-31,https://www.diputados.gob.mx/LeyesBiblio/abro/lisr/LISR_abro_11dic13.pdf,statute,primary_statutory_single_source,Former Ley del Impuesto sobre la Renta Art 109 frac XXVI: Exemption on capital gains from sale of Mexican shares traded on BMV prior to 2014 fiscal reform
Mexico,LISR 2014 Art 129 10% Definitive Tax,flat,10.0,0,0.0,0.0,0,2014-01-01,2025-12-31,https://www.diputados.gob.mx/LeyesBiblio/pdf/LISR.pdf,statute,primary_statutory_single_source,Ley del Impuesto sobre la Renta Art 129: 10.0 pct definitive single tax on net annual capital gains from shares traded on recognized Mexican stock exchanges (BMV/BIVA). Enacted via DOF 11-12-2013 effective 1 Jan 2014.
Indonesia,PP 41/1994 Final Equity Tax,flat,0.0,0,0.0,0.0,0,2011-01-01,2025-12-31,https://www.pajak.go.id,statute,primary_statutory_single_source,Listed share capital gains exempt from general income tax; subject to 0.1 pct final tax on gross sales proceeds collected by broker under PP 41/1994 jo PP 14/1997
